dataset,split,image_count,blank_count,metric,count,mean,median,population_std
quickdraw_80_30,test,92291,0,ink_pixels,92291,1687.9304265854742,1544.0,819.5906148569347
quickdraw_80_30,test,92291,0,ink_fraction_percent,92291,3.3640195045150554,3.077168367346939,1.633431550655562
quickdraw_80_30,test,92291,0,raster_line_width_estimate_px,92291,2.047156638911881,2.0366947650909424,0.05998917622956549
quickdraw_80_30,train,236080,0,ink_pixels,236080,1657.027774483226,1535.0,775.4662155181501
quickdraw_80_30,train,236080,0,ink_fraction_percent,236080,3.302430991875052,3.0592315051020407,1.5454922981468233
quickdraw_80_30,train,236080,0,raster_line_width_estimate_px,236080,2.0448440889975292,2.0358026027679443,0.05164922491325289
sketchy_104_21,test,12694,0,ink_pixels,12694,2629.297857255396,2291.0,1513.042195416642
sketchy_104_21,test,12694,0,ink_fraction_percent,12694,5.240150385155047,4.5659279336734695,3.0154699366562534
sketchy_104_21,test,12694,0,raster_line_width_estimate_px,12694,4.056314597096765,4.010601282119751,0.2834251150180929
sketchy_104_21,train,57587,0,ink_pixels,57587,2630.917359820793,2352.0,1427.1791658610302
sketchy_104_21,train,57587,0,ink_fraction_percent,57587,5.243378028979579,4.6875,2.8443462329819638
sketchy_104_21,train,57587,0,raster_line_width_estimate_px,57587,4.0671565353001995,4.001873970031738,0.3163159500863941
tuberlin_220_30,test,2400,0,ink_pixels,2400,1153.01625,1056.0,474.9362572871622
tuberlin_220_30,test,2400,0,ink_fraction_percent,2400,2.297943738042092,2.104591836734694,0.9465406913408048
tuberlin_220_30,test,2400,0,raster_line_width_estimate_px,2400,2.0099404852588973,2.0040719509124756,0.029328300961486538
tuberlin_220_30,train,15400,0,ink_pixels,15400,1172.1988311688312,1083.0,500.492496744292
tuberlin_220_30,train,15400,0,ink_fraction_percent,15400,2.3361743287006362,2.1584024234693877,0.9974738854119339
tuberlin_220_30,train,15400,0,raster_line_width_estimate_px,15400,2.0100932862387073,2.00446355342865,0.021388345433653165
