dataset,step,progress_percent,test/cleaned/P@200,test/cleaned/mAP@200,test/cleaned/mAP@all,test/masked/P@200,test/masked/mAP@200,test/masked/mAP@all
sketchy_104_21,890,20.01799370220423,0.5104151462902916,0.39532426197228476,0.48521077459874973,0.3616258262110631,0.26177699516421316,0.3611322420097852
sketchy_104_21,1779,40.013495276653174,0.5429840756686469,0.42172528751742705,0.5065422468219021,0.3941707720188596,0.2821321814395003,0.37942737707212615
sketchy_104_21,2668,60.00899685110211,0.5475574963248777,0.427521465710094,0.5135563709690952,0.40188053875757146,0.2917425586823076,0.39041106277825394
sketchy_104_21,3557,80.00449842555106,0.5565475695800991,0.4340102453120245,0.5207980679094554,0.4150488329797208,0.3024421928443907,0.4018833053541156
sketchy_104_21,4446,100.0,0.5495348081258434,0.4281478006759094,0.5158443483724316,0.41280092066067475,0.30138174433376214,0.40046720480836373
tuberlin_220_30,238,20.016820857863753,0.36021040824629985,0.265130482848521,0.30609564134851097,0.24472823486590103,0.16889691563422024,0.21759563406396884
tuberlin_220_30,476,40.033641715727505,0.4613958230564216,0.37000487202929433,0.3938031890871935,0.32630948338592947,0.24636542634579225,0.286506781858668
tuberlin_220_30,714,60.050462573591254,0.4840583221773462,0.4039687305150581,0.4222226718471696,0.3481055474512417,0.27760696092196424,0.3135766344106135
tuberlin_220_30,952,80.06728343145501,0.5020916553516872,0.4218639323238828,0.4393267764659443,0.3618597138454896,0.2882727241081944,0.325038637243194
tuberlin_220_30,1189,100.0,0.5028541551022014,0.4218314166392649,0.4396614905633032,0.36322638066916696,0.289237219486568,0.32638461547718317
quickdraw_80_30,3646,20.001097152888256,0.1496039123249491,0.0736357738935077,0.15052494697931812,0.11323355563080963,0.05175944468911509,0.1203548903775517
quickdraw_80_30,7292,40.00219430577651,0.14537050936358897,0.0716273798680252,0.14775002761726153,0.11394993099020925,0.05209634037705073,0.12184291360956125
quickdraw_80_30,10938,60.00329145866476,0.14239194164893462,0.07082728025583383,0.15046275750767424,0.11205562089410355,0.0520356796896482,0.12376667936116578
quickdraw_80_30,14584,80.00438861155303,0.15310414516661489,0.078853942045821,0.15608842064006323,0.11907226735121511,0.0566224082676665,0.1275520078701883
quickdraw_80_30,18229,100.0,0.15036655433270998,0.07665718901818885,0.15478658944216914,0.11791724323539175,0.05593806139345389,0.12753774058770742
